label, leftEyebrow,rightEyebrow,leftLip,rightLip,lipHeight,lipWidth
neutral,5.675586,5.8496065,4.9412313,5.232825,1.121114,4.194002
neutral,5.5956945,5.824933,4.9555306,4.7361994,1.037037,3.521636
neutral,5.3531313,5.4662967,5.040543,5.035244,1.119105,3.6770594
neutral,6.2080846,5.6657753,4.0539503,4.219829,0.86161816,2.7467103
neutral,6.479796,6.2746177,4.9626102,4.7965937,1.2770158,3.8829014
neutral,5.716672,5.2028766,4.7504673,4.907945,0.9988681,3.425021
neutral,5.7238765,5.1876717,4.051402,4.3068547,0.6943892,2.6021352
neutral,5.933614,5.505619,5.0598454,4.785413,1.180298,3.7036793
neutral,5.8263392,5.5691323,4.493051,4.9053316,1.1351916,3.3604739
neutral,5.5935864,5.978851,4.844656,4.7256594,1.3326733,3.3326168
neutral,5.177272,6.040637,4.640324,4.4738765,1,3.0431356
neutral,6.1956053,5.705275,4.4669967,4.758383,0.9531985,3.368421
neutral,6.100653,5.5811987,4.808464,4.8374543,0.8620569,3.5680068
neutral,6.44023,5.492166,4.812137,4.677723,1.0476191,3.1908314
neutral,5.701749,5.8207254,4.7107177,4.1849933,1.1504303,2.8635645
neutral,6.5300922,5.886232,4.7971363,5.100179,1.1413361,3.6638377
neutral,5.9162455,5.533848,4.9750133,5.427331,1.1578834,4.020845
neutral,5.360542,5.747221,5.4401956,5.098162,1.3826658,3.8574722
neutral,6.134958,6.2808743,4.9993362,5.107213,1.1976599,4.100546
neutral,6.193223,5.909245,4.419616,4.6940274,1.0837362,3.428717
neutral,6.030626,5.749226,5.3706512,5.5415,1.3072432,4.000236
neutral,5.5717535,5.677273,4.7170825,4.6046047,0.8842188,3.2835717
neutral,5.399157,5.5610647,5.052803,4.90976,1.2941103,3.840936
neutral,5.608269,5.6799774,4.9120903,4.898446,0.92705166,3.5228598
neutral,6.811877,6.51022,5.4653907,5.624416,1.2921591,4.428534
neutral,6.277144,5.394178,4.3787427,5.32803,0.9935599,3.4502788
neutral,6.245432,6.8371763,4.244013,4.134475,0.8335368,2.7984457
neutral,6.1130595,6.09207,4.734924,4.799148,0.95454544,3.4545455
neutral,5.9094124,5.8797812,4.9771194,4.968533,0.9566056,3.5184152
neutral,5.878223,5.7990923,4.109597,4.3337493,0.8647471,2.595094
neutral,6.2644234,5.801684,5.664361,6.2014256,1.5299412,4.5339594
neutral,5.4426146,5.333801,6.844315,7.159655,2.4399402,5.4924784
neutral,5.216821,5.2682467,6.6011343,6.796475,2.3079965,5.6143923
neutral,6.0457554,6.162602,4.876609,4.9283543,0.8687445,3.5629115
neutral,5.4988847,5.4762025,4.9124546,4.993918,1.4552555,3.3639436
neutral,5.4492564,5.616919,5.165937,4.9790454,1.2313701,3.6925082
neutral,6.0754523,6.015523,5.0532994,5.1621304,1.0443763,3.814514
neutral,5.6978607,5.941759,4.5960984,4.35678,1.1563362,2.891331
neutral,6.694113,6.6074243,4.917831,4.5364547,0.91218174,3.6055515
neutral,5.6522245,5.685481,5.132803,5.3271456,1.2993381,4.04618
neutral,5.445904,5.771899,4.7851324,4.394136,0.82608694,3.3523405
neutral,5.763625,5.8995495,5.1706305,4.7515793,1.2509997,3.7013512
neutral,6.06272,5.2212296,4.576254,4.746615,1.1295121,3.2589896
neutral,5.9960074,6.1825156,4.386638,4.619207,1.0424997,3.4585845
neutral,5.8683553,5.6577682,4.8734584,4.597944,1.2406449,3.2809753
neutral,5.3874345,5.1094437,5.478741,5.7051587,2.0555556,4.392052
neutral,6.009696,5.835658,4.678512,4.5624447,0.69337523,3.3463748
neutral,6.2102046,5.991275,5.2289286,5.05944,1.3991446,4.095189
neutral,6.346093,5.844129,5.166221,5.2280126,1.1363636,3.7283812
neutral,6.1381497,5.260741,4.407187,4.987171,0.9539097,3.4651847
neutral,5.8187585,5.890542,5.199431,4.772981,1.3455507,3.9021811
neutral,6.453095,5.6279273,4.9891253,5.503512,1.146563,4.036352
